id	filename	md5	size	state
e8cfd25a-5935-473e-93be-fff4b5ffdcf6	93ebfbac-d457-41f8-9fa1-1b65c4589fc8.wxs.aliquot_ensemble_raw.maf.gz	67cf530f7626d8fee963588371b98ee1	597732	released
0ab3b1d5-6990-4918-9cfb-77e3a749d199	93ebfbac-d457-41f8-9fa1-1b65c4589fc8.wxs.aliquot_ensemble_masked.maf.gz	85da1c4a5b3a54ad8c0d3f93b7cedbbe	88604	released
12708092-f37f-4c56-a827-202376c6ab93	da1e5afd-39df-4fbe-bb87-b1638706df05.wxs.MuSE.aliquot.maf.gz	8ff1ccd860a2ddf208440ebde8168058	307478	released
462fb0d6-934e-4778-9a2a-a3caf1aceb47	01e8c03b-adae-4b63-b8cb-f1147e1ff8f7.wxs.MuSE.aliquot.maf.gz	6faff067be4ac4e3f34131bcdb7794e9	836237	released
0d19b645-0891-480d-94ba-7af0c71c38b5	659be2dd-1dce-4724-a13e-3781c5939e0a.wxs.VarScan2.aliquot.maf.gz	597b204784031c4f22bce78e4bb03079	811502	released
caf35791-a3ca-48c2-a720-7a816dbb8331	7b837663-4f7b-48d5-a15e-f03bee4500d4.wxs.Pindel.aliquot.maf.gz	4bb82521d25b7e5bef31c90986b83d19	62710	released
b83cff33-e595-4835-8e5f-f03cc0713016	91bc73cd-f60f-4723-9aed-c7043e2ba529.wxs.aliquot_ensemble_masked.maf.gz	10900d8a1bc05b29c06da89dbfc2fa4c	129189	released
2a0b1c8d-170d-448d-a2ee-090602ef839d	554a870c-93b0-456e-90b8-0ccdb64be0d9.wxs.MuTect2.aliquot.maf.gz	e6fe61f8ca45002661cb6ca62fd0a44a	1717792	released
2550401c-3694-4a7f-ba8e-a78a72e30a0f	eaa04243-af48-4f89-834c-3aa454ed2b7e.wxs.MuTect2.aliquot.maf.gz	d03e9c1959b53c1456d17e8f72ce2425	1014641	released
1efa25a1-2998-4d61-a02c-f112e98322c4	d79c2668-6f1e-4736-ac9e-08e7fa58321d.wxs.aliquot_ensemble_masked.maf.gz	19b8875ab887e6cbbb9bb635625d8edd	32187	released
