id	filename	md5	size	state
475ae373-a624-4009-b83d-c6d94dd8a13b	6ccfb07e-ba1b-49c3-81a7-cfcd220afcb1.wxs.aliquot_ensemble_raw.maf.gz	1b39eb789e1394764e72ef166ed8dba6	372446	released
bba09c64-c80c-49d4-ae81-53d12061ea88	8ed57f1a-714d-480e-820f-ed34c701e1bf.wxs.aliquot_ensemble_raw.maf.gz	6368514c95896ca747df6092471248dd	404053	released
e24113bc-f5ed-44e6-90b6-c49157e124cc	5d96a89e-554d-42d2-835e-660ba5f5a325.wxs.aliquot_ensemble_raw.maf.gz	fe93c0d294ca9268bda97eaf28be968a	253922	released
cfd21978-e95f-4956-b780-b6cd628d1bd5	8383e3da-c1df-4780-979f-bc58e1322345.wxs.aliquot_ensemble_raw.maf.gz	549fed5c28539dc29cc1181ab7eaa6fd	86129	released
4862ef41-7fe8-4d13-8fe1-b98c9e6b10e2	10fb3ac7-3630-4738-b7d3-373e7be06037.wxs.aliquot_ensemble_raw.maf.gz	b46eeb5d350cb1f08a41e85cb536731a	443001	released
ebc083cc-31cf-4baf-8054-7935deaff9fd	aa64d00a-b405-4526-a033-bd308fe79c5b.wxs.aliquot_ensemble_raw.maf.gz	8771d16f64048291f7cb3e10101910eb	118648	released
8e938ae6-72ee-4def-80dc-8c81f84016ea	7ece21e7-6197-41b3-8152-cc388dfe2ed9.wxs.aliquot_ensemble_raw.maf.gz	9103966d741229d28b2d01df05069b68	563584	released
b5a4066b-62eb-4693-af7c-ffda63944e7b	e5adc5a1-38a7-46c5-a65e-d4cf08c3cf3d.wxs.aliquot_ensemble_raw.maf.gz	755377190b2f458796c3df42eb2fd5e6	397522	released
675f5b1c-f071-4668-9f56-8e9027c67050	78a71c8d-9b98-41b1-a206-3123f7cdddd7.wxs.aliquot_ensemble_raw.maf.gz	dea07d86c6bc7ba4fda443de4d7907ac	335481	released
4e8c20d3-4bae-491f-9e4a-741849f78676	4d870d17-e65b-4d9e-82de-0f6cdbcd55a3.wxs.aliquot_ensemble_raw.maf.gz	f91ab464ddf87ab6bc53dedc3a587e87	50136	released
